TEXTOS EXTRAÍDOS DEL ARCHIVO DXF:
================================================================================
Capas disponibles: 0, TERRENO, LINEAS-DETALLES, TUBO-CONDENSADO-12, LINEAS-TUBO, LAMINA, ABS-HORIZ, ABS-PISADA, FORMATO, FORMATO-2, TXT-PERFIL, CAMISAS, COTA-TER, COTA-CLAVE, TXT-PEND, COTA-FONDO, ALCANTARILLA-PER, VALVULA-VENTEO, MALLA, MALLA2, BARRERA, LINEAS, TUBO-SALMUERA-AS-8, DEFPOINTS, FONDO, FILTROS, DET, ABS-PISADA-T, POSTE-BRINSA, COTA-CLAVE-SAL, CONSTRUCCION, RELLENO, CORTACORRIENTE, PIEDRA-PEGADA, VALVULA-SECCION, SILLETAS, BOX, REVESTIMIENTO, RED-ACUEDUCTO, RED-GAS, RED-ALCANTARILLADO, MARCOS-H, FIBRA_OPTICA, TUBO-CONDENSADO-AS, CENTERLINE
================================================================================


CAPA: ABS-HORIZ
----------------------------------------
  [X=178.9, Y=25315.6]: K0+180
  [X=495.7, Y=25315.6]: K0+500
  [X=990.2, Y=25315.6]: K1+000
  [X=1488.9, Y=25315.6]: K1+500
  [X=1988.2, Y=25315.6]: K2+000
  [X=2487.4, Y=25315.6]: K2+500
  [X=2987.8, Y=25315.6]: K3+000
  [X=3487.2, Y=25315.6]: K3+500
  [X=3987.2, Y=25315.6]: K4+000
  [X=4487.2, Y=25315.6]: K4+500
  [X=4986.3, Y=25315.6]: K5+000
  [X=5486.2, Y=25315.6]: K5+500
  [X=5985.2, Y=25315.6]: K6+000
  [X=6485.0, Y=25315.6]: K6+500
  [X=6984.1, Y=25315.6]: K7+000
  [X=7482.9, Y=25315.6]: K7+500
  [X=7981.7, Y=25315.6]: 8000
  [X=8481.4, Y=25315.6]: K8+500
  [X=8980.2, Y=25315.6]: K9+000
  [X=9479.4, Y=25315.6]: K9+500
  [X=9978.9, Y=25315.6]: K10+000
  [X=10475.0, Y=25315.6]: K10+500
  [X=10977.1, Y=25315.6]: K11+000
  [X=11477.0, Y=25315.6]: K11+500
  [X=11976.7, Y=25315.6]: K12+000
  [X=12477.1, Y=25315.6]: K12+500
  [X=12976.1, Y=25315.6]: K13+000
  [X=13476.0, Y=25315.6]: K13+500
  [X=13975.1, Y=25315.6]: K14+000
  [X=14474.5, Y=25315.6]: K14+500
  [X=14974.5, Y=25315.6]: K15+000
  [X=15472.6, Y=25315.6]: K15+500
  [X=15972.6, Y=25315.6]: K16+000
  [X=16472.0, Y=25315.6]: K16+500
  [X=16972.0, Y=25315.6]: K17+000
  [X=17470.2, Y=25315.6]: K17+500
  [X=17968.8, Y=25315.6]: K18+000
  [X=18468.4, Y=25315.6]: K18+500
  [X=18968.4, Y=25315.6]: K19+000
  [X=19467.9, Y=25315.6]: K19+500
  [X=19967.4, Y=25315.6]: K20+000
  [X=20461.0, Y=25315.6]: K20+500
  [X=20961.0, Y=25315.6]: K21+000
  [X=21460.7, Y=25315.6]: K21+500
  [X=21961.4, Y=25315.6]: K22+000
  [X=22461.0, Y=25315.6]: K22+500
  [X=22963.2, Y=25315.6]: K23+000
  [X=23463.1, Y=25315.6]: K23+500
  [X=23962.7, Y=25315.6]: K24+000
  [X=24460.4, Y=25315.6]: K24+500
  [X=24953.8, Y=25315.6]: K25+000
  [X=209.7, Y=25299.9]: K0+210
  [X=219.7, Y=25299.9]: K0+220
  [X=239.7, Y=25299.9]: K0+240
  [X=249.7, Y=25299.9]: K0+250
  [X=259.7, Y=25299.9]: K0+260
  [X=279.7, Y=25299.9]: K0+280
  [X=299.7, Y=25299.9]: K0+300
  [X=319.7, Y=25299.9]: K0+320
  [X=339.7, Y=25299.9]: K0+340
  [X=359.7, Y=25299.9]: K0+360
  [X=379.7, Y=25299.9]: K0+380
  [X=399.7, Y=25299.9]: K0+400
  [X=409.7, Y=25299.9]: K0+410
  [X=419.7, Y=25299.9]: K0+420
  [X=439.7, Y=25299.9]: K0+440
  [X=459.7, Y=25299.9]: K0+460
  [X=469.7, Y=25299.9]: K0+470
  [X=479.7, Y=25299.9]: K0+480
  [X=489.7, Y=25299.9]: K0+490
  [X=499.7, Y=25299.9]: K0+500
  [X=509.7, Y=25299.9]: K0+510
  [X=519.7, Y=25299.9]: K0+520
  [X=529.7, Y=25299.9]: K0+530
  [X=539.7, Y=25299.9]: K0+540
  [X=549.7, Y=25299.9]: K0+550
  [X=559.7, Y=25299.9]: K0+560
  [X=569.7, Y=25299.9]: K0+570
